total_bill,tip,sex,day,time,size,foodquality,age
980,89,female,Sun,Dinner,5,Good,13-17
940,78,Male,Mon,Dinner,3,Average,13-17
800,80,Male,Tue,Dinner,3,Poor,13-17
300,30,Male,Wed,Dinner,2,excellent,13-17
1000,100,female,Thu,Dinner,4,Good,13-17
950,79,Male,Fri,Dinner,4,Good,38-42
400,50,Male,Sat,Dinner,2,Good,38-42
1000,89,Male,Sun,Dinner,4,Good,38-42
300,30,Male,Mon,Dinner,2,Good,38-42
400,34,Male,Tue,Dinner,2,Good,38-42
550,45,Male,Wed,Dinner,2,Good,13-17
905,89,female,Thu,Dinner,4,Good,13-17
300,40,Male,Fri,Dinner,2,Good,13-17
1200,130,Male,Sat,Dinner,6,Good,under-14
220,20,female,Sun,Dinner,2,Good,under-14
400,40,Male,Mon,Dinner,2,Good,under-14
500,50,female,Tue,Dinner,3,excellent,under-14
600,60,Male,Wed,Dinner,3,excellent,under-14
700,67,female,Thu,Dinner,3,excellent,under-14
450,45,Male,Fri,Dinner,3,excellent,under-14
300,43,Male,Sat,Dinner,2,excellent,under-14
240,24,female,Sun,Dinner,2,excellent,13-17
300,30,female,Mon,Dinner,2,excellent,13-17
900,90,Male,Tue,Dinner,4,excellent,13-17
300,30,Male,Wed,Dinner,2,excellent,13-17
900,90,Male,Thu,Dinner,4,excellent,13-17
400,54,Male,Fri,Dinner,2,excellent,18-22
300,34,Male,Sat,Dinner,2,excellent,18-22
350,34,Male,Sun,Dinner,2,excellent,18-22
350,54,female,Mon,Dinner,2,excellent,18-22
400,34,Male,Tue,Dinner,2,excellent,18-22
780,89,Male,Wed,Dinner,4,excellent,18-22
340,67,female,Thu,Dinner,2,Good,18-22
500,45,female,Fri,Dinner,4,Good,above-42
200,20,Male,Sat,Dinner,2,Good,above-42
400,40,Male,Sun,Dinner,3,Good,above-42
400,30,Male,Mon,Dinner,3,Good,above-42
340,30,female,Tue,Dinner,3,Good,above-42
400,43,Male,Wed,Dinner,3,Good,above-42
230,23,Male,Thu,Dinner,3,Poor,18-22
345,54,Male,Fri,Dinner,3,Poor,18-22
200,24,Male,Sat,Dinner,2,Poor,18-22
240,26,Male,Sun,Dinner,2,Poor,18-22
290,30,Male,Mon,Dinner,2,Poor,18-22
460,46,Male,Tue,Dinner,4,Poor,18-22
230,54,Male,Wed,Dinner,2,Poor,18-22
300,34,Male,Thu,Dinner,2,Poor,18-22
469,65,Male,Fri,Dinner,4,Poor,18-22
400,45,Male,Sat,Dinner,3,Poor,18-22
320,43,Male,Sun,Dinner,2,Poor,18-22
230,32,Male,Mon,Dinner,2,Poor,18-22
250,32,female,Tue,Dinner,2,Poor,18-22
456,54,female,Wed,Dinner,4,Poor,18-22
260,23,Male,Thu,Dinner,2,Poor,18-22
340,43,Male,Fri,Dinner,4,Poor,18-22
304,23,Male,Sat,Dinner,2,Poor,18-22
460,45,Male,Sun,Dinner,4,Poor,18-22
234,23,female,Mon,Dinner,2,Poor,33-37
320,32,Male,Tue,Dinner,2,Poor,33-37
456,46,Male,Wed,Dinner,4,Poor,33-37
300,54,Male,Thu,Dinner,2,Poor,33-37
234,23,Male,Fri,Dinner,2,Poor,33-37
256,87,Male,Sat,Dinner,2,Poor,38-42
456,56,Male,Sun,Dinner,4,Poor,38-42
300,45,Male,Mon,Dinner,3,Poor,38-42
345,45,Male,Tue,Dinner,3,Poor,38-42
200,40,female,Wed,Dinner,2,Poor,38-42
123,56,female,Thu,Dinner,1,Poor,38-42
234,34,Male,Fri,Dinner,2,Poor,23-27
290,34,Male,Sat,Dinner,2,Poor,23-27
243,32,Male,Sun,Dinner,2,Poor,23-27
300,45,female,Mon,Dinner,3,Poor,23-27
230,24,female,Tue,Dinner,2,Poor,23-27
300,43,female,Wed,Dinner,3,Poor,23-27
299,34,female,Thu,Dinner,3,Average,23-27
400,43,Male,Fri,Dinner,3,Average,23-27
240,23,Male,Sat,Dinner,2,Average,23-27
475,43,Male,Sun,Lunch,4,Average,23-27
230,32,Male,Mon,Lunch,2,Average,28-32
230,34,Male,Tue,Lunch,2,Average,28-32
243,42,Male,Wed,Lunch,2,Average,28-32
200,34,Male,Thu,Lunch,2,Average,28-32
140,34,female,Fri,Lunch,1,Average,28-32
240,32,Male,Sat,Lunch,2,Average,28-32
302,34,Male,Sun,Lunch,2,Average,28-32
504,54,female,Mon,Lunch,4,Average,28-32
230,54,Male,Tue,Lunch,2,Average,28-32
250,34,Male,Wed,Lunch,2,Average,28-32
256,43,Male,Thu,Lunch,2,Average,28-32
342,55,Male,Fri,Lunch,2,Average,23-27
240,54,Male,Sat,Dinner,2,Average,23-27
450,50,Male,Sun,Dinner,3,excellent,18-22
400,100,female,Mon,Dinner,4,excellent,18-22
550,100,Male,Tue,Dinner,5,excellent,18-22
750,50,female,Wed,Dinner,6,excellent,18-22
850,200,Male,Sun,Dinner,7,excellent,18-22
960,200,Male,Fri,Dinner,8,excellent,18-22
960,200,Male,Sat,Dinner,9,excellent,18-22
1200,120,female,Sun,Dinner,10,excellent,above-42
1200,120,female,Sun,Dinner,11,excellent,above-42
150,10,female,Tue,Lunch,1,excellent,above-42
251,50,Male,Wed,Dinner,2,Average,above-42
450,50,Male,Sun,Dinner,3,Average,above-42
600,200,Male,Fri,Dinner,4,Average,above-42
500,50,female,Sat,Dinner,5,Average,18-22
850,200,Male,Sun,Lunch,6,Average,18-22
